"s","birthName"
"http://dbpedia.org/resource/Rubén_Darío",""
"http://dbpedia.org/resource/Zygmunt_Krasiński",""
"http://dbpedia.org/resource/E._E._Cummings",""
"http://dbpedia.org/resource/Florbela_Espanca",""
"http://dbpedia.org/resource/Novalis",""
"http://dbpedia.org/resource/Pam_Ayres",""
"http://dbpedia.org/resource/Jean_Cocteau",""
"http://dbpedia.org/resource/Mario_Petrucci",""
"http://dbpedia.org/resource/Matsuo_Bashō",")"
"http://dbpedia.org/resource/Kobayashi_Issa",")"
"http://dbpedia.org/resource/Mareez","Abbas Abdul Ali Vasi"
"http://dbpedia.org/resource/Abhi_Subedi","Abhi Narayan Subedi"
"http://dbpedia.org/resource/Adam_Asnyk","Adam Asnyk"
"http://dbpedia.org/resource/Adam_Mickiewicz","Adam Bernard Mickiewicz"
"http://dbpedia.org/resource/Ayo_Ayoola-Amale","Adebisi Ayo Adekeye"
"http://dbpedia.org/resource/Addie_L._Ballou","Adeline Lucia Hart"
"http://dbpedia.org/resource/Adrienne_Rich","Adrienne Cecile Rich"
"http://dbpedia.org/resource/Emilia_Lanier","Aemilia Bassano"
"http://dbpedia.org/resource/Agha_Shahid_Ali","Agha Shahid Ali"
"http://dbpedia.org/resource/Aimé_Césaire","Aimé Fernand David Césaire"
"http://dbpedia.org/resource/Adam_Ważyk","Ajzyk Wagman"
"http://dbpedia.org/resource/Wole_Soyinka","Akínwándé Olúwolé Babátúndé Sóyíinká"
"http://dbpedia.org/resource/Alurista","Alberto Baltazar Urista Heredia"
"http://dbpedia.org/resource/Alda_Lara","Alda Ferreira Pires Barreto de Lara Albuquerque"
"http://dbpedia.org/resource/Branko_Radičević","Aleksije Radičević"
"http://dbpedia.org/resource/Alessandro_Manzoni","Alessandro Francesco Tommaso Manzoni"
"http://dbpedia.org/resource/Alexander_Blok","Alexander Alexandrovich Blok"
"http://dbpedia.org/resource/Alfonso_Vallejo","Alfonso Rodríguez Vallejo"
"http://dbpedia.org/resource/Alfred_Corn","Alfred DeWitt Corn III"
"http://dbpedia.org/resource/A._E._Housman","Alfred Edward Housman"
"http://dbpedia.org/resource/Joyce_Kilmer","Alfred Joyce Kilmer"
"http://dbpedia.org/resource/Alfred_de_Musset","Alfred Louis Charles de Musset-Pathay"
"http://dbpedia.org/resource/Alfred_de_Vigny","Alfred Victor, Comte de Vigny"
"http://dbpedia.org/resource/Nima_Yooshij","Ali Esfandiari"
"http://dbpedia.org/resource/Alice_Notley","Alice Elizabeth Notley"
"http://dbpedia.org/resource/Alice_Walker","Alice Malsenior Walker"
"http://dbpedia.org/resource/Alison_Cockburn","Alison Rutherford"
"http://dbpedia.org/resource/Alphonse_de_Lamartine","Alphonse Marie Louis de Prat de Lamartine"
"http://dbpedia.org/resource/Guru_Amar_Das","Amar Das"
"http://dbpedia.org/resource/Paul_Valéry","Ambroise Paul Toussaint Jules Valéry"
"http://dbpedia.org/resource/Amy_Parkinson","Amelia Jane Parkinson"
"http://dbpedia.org/resource/Hushang_Ebtehaj","Amir Hushang Ebtehaj"
"http://dbpedia.org/resource/Amos_Bronson_Alcott","Amos Bronson Alcox"
"http://dbpedia.org/resource/Amy_Lowell","Amy Lawrence Lowell"
"http://dbpedia.org/resource/Veronica_Micle","Ana Câmpeanu"
"http://dbpedia.org/resource/Andrei_Voznesensky","Andrei Andreyevich Voznesensky"
"http://dbpedia.org/resource/Banjo_Paterson","Andrew Barton Paterson"
"http://dbpedia.org/resource/André_Breton","André Robert Breton"
"http://dbpedia.org/resource/Angela_Readman","Angela Readman"
"http://dbpedia.org/resource/Angus_Calder","Angus Lindsay Ritchie Calder"
"http://dbpedia.org/resource/Anna_Akhmatova","Anna Andreevna Gorenko"
"http://dbpedia.org/resource/Annette_von_Droste-Hülshoff","Anna Elisabeth Franziska Adolphine Wilhelmine Louise Maria von Droste zu Hülshoff"
"http://dbpedia.org/resource/Anna_Laetitia_Barbauld","Anna Laetitia Aikin"
"http://dbpedia.org/resource/Anne_Bradstreet","Anne Dudley"
"http://dbpedia.org/resource/Anne_Elizabeth_Wilson","Anne Elizabeth Wilson"
"http://dbpedia.org/resource/Anne_Sexton","Anne Gray Harvey"
"http://dbpedia.org/resource/Anne_Morrow_Lindbergh","Anne Spencer Morrow"
"http://dbpedia.org/resource/Annie_Finch","Annie Ridley Crane Finch"
"http://dbpedia.org/resource/Antonin_Artaud","Antoine-Marie-Joseph Artaud"
"http://dbpedia.org/resource/Anton_Martin_Slomšek","Anton Martin Slomšek"
"http://dbpedia.org/resource/Antoni_Słonimski","Antoni Słonimski"
"http://dbpedia.org/resource/Antonio_Machado","Antonio Cipriano José María y Francisco de Santa Ana Machado y Ruiz"
"http://dbpedia.org/resource/Aphra_Behn","Aphra Johnson (?)"
"http://dbpedia.org/resource/Eino_Leino","Armas Einar Leopold Lönnbohm"
"http://dbpedia.org/resource/Arthur_Machen","Arthur Llewellyn Jones"
"http://dbpedia.org/resource/Robert_Hayden","Asa Bundy Sheffey"
"http://dbpedia.org/resource/Ashok_Chakradhar","Ashoka Sharma"
"http://dbpedia.org/resource/Audre_Lorde","Audrey Geraldine Lorde"
"http://dbpedia.org/resource/August_Kleinzahler","August Kleinzahler"
"http://dbpedia.org/resource/Malcolm_Guite","Ayodeji Malcolm Guite"
"http://dbpedia.org/resource/Basil_Bunting","Basil Cheesman Bunting"
"http://dbpedia.org/resource/Beatrice_Redpath","Beatrice Constance Peterson"
"http://dbpedia.org/resource/Benjamin_Zephaniah","Benjamin Obadiah Iqbal Zephaniah"
"http://dbpedia.org/resource/Ben_Lerner","Benjamin S. Lerner"
"http://dbpedia.org/resource/Beth_Gylys","Beth Ann Gylys"
"http://dbpedia.org/resource/Bhupi_Sherchan","Bhupendra Man Sherchan"
"http://dbpedia.org/resource/Bolesław_Leśmian","Bolesław Lesman"
"http://dbpedia.org/resource/Boris_Pasternak","Boris Leonidovich Pasternak"
"http://dbpedia.org/resource/Andrei_Bely","Boris Nikolaevich Bugaev"
"http://dbpedia.org/resource/Abdillahi_Suldaan_Mohammed_Timacade","Cabdillaahii Suuldaan Maxamed"
"http://dbpedia.org/resource/Calvin_Trillin","Calvin Marshall Trillin"
"http://dbpedia.org/resource/Camille_Dungy","Camille T. Dungy"
"http://dbpedia.org/resource/Carl_Sandburg","Carl August Sandberg"
"http://dbpedia.org/resource/Caroline_Norton","Caroline Elizabeth Sarah Sheridan"
"http://dbpedia.org/resource/Carolyn_Kizer","Carolyn Ashley Kizer"
"http://dbpedia.org/resource/Carolyn_D._Wright","Carolyn Doris Wright"
"http://dbpedia.org/resource/Carolyn_Kreiter-Foronda","Carolyn Kreiter"
"http://dbpedia.org/resource/Cecília_Meireles","Cecília Benevides de Carvalho Meireles"
"http://dbpedia.org/resource/Cemal_Süreya","Cemalettin Seber"
"http://dbpedia.org/resource/Charles_Lindbergh","Charles Augustus Lindbergh"
"http://dbpedia.org/resource/Calvin_Ziegler","Charles Calvin Ziegler"
"http://dbpedia.org/resource/Charles_Ghigna","Charles Ghigna"
"http://dbpedia.org/resource/Charles_Sorley","Charles Hamilton Sorley"
"http://dbpedia.org/resource/Charles_Harpur","Charles Harpur"
"http://dbpedia.org/resource/Lewis_Carroll","Charles Lutwidge Dodgson"
"http://dbpedia.org/resource/Leconte_de_Lisle","Charles Marie René Leconte de Lisle"
"http://dbpedia.org/resource/Charles_Baxter_(author)","Charles Morley Baxter"
"http://dbpedia.org/resource/Charles_Baudelaire","Charles Pierre Baudelaire"
"http://dbpedia.org/resource/Charles_Péguy","Charles Pierre Péguy"
"http://dbpedia.org/resource/Charlotte_Forten_Grimké","Charlotte Louise Bridges Forten"
"http://dbpedia.org/resource/Charlotte_Mew","Charlotte Mary Mew"
"http://dbpedia.org/resource/Charlotte_Smith_(writer)","Charlotte Turner"
"http://dbpedia.org/resource/Christa_Wolf","Christa Ihlenfeld"
"http://dbpedia.org/resource/Christian_Bök","Christian Book"
"http://dbpedia.org/resource/Christian_Morgenstern","Christian Otto Josef Wolfgang Morgenstern"
"http://dbpedia.org/resource/Ama_Ata_Aidoo","Christina Ama Aidoo"
"http://dbpedia.org/resource/Christina_Rossetti","Christina Georgina Rossetti"
"http://dbpedia.org/resource/Christine_De_Luca","Christine Pearson"
"http://dbpedia.org/resource/Chris_Abani","Christopher Abani"
"http://dbpedia.org/resource/Christopher_Brennan","Christopher John Brennan"
"http://dbpedia.org/resource/Hugh_MacDiarmid","Christopher Murray Grieve"
"http://dbpedia.org/resource/Joaquin_Miller","Cincinnatus Hiner Miller"
"http://dbpedia.org/resource/C._S._Lewis","Clive Staples Lewis"
"http://dbpedia.org/resource/Coleman_Barks","Coleman Bryan Barks"
"http://dbpedia.org/resource/Conrad_Aiken","Conrad Potter Aiken"
"http://dbpedia.org/resource/Countee_Cullen","Countee LeRoy Porter"
"http://dbpedia.org/resource/Coventry_Patmore","Coventry Kersey Dighton Patmore"
"http://dbpedia.org/resource/Cyprian_Norwid","Cyprian Konstanty Norwid"
"http://dbpedia.org/resource/César_Vallejo","César Abraham Vallejo Mendoza"
"http://dbpedia.org/resource/Daniel_Berrigan","Daniel Joseph Berrigan"
"http://dbpedia.org/resource/Denis_Glover","Denis James Matthews Glover"
