"s","birthPlace"
"http://dbpedia.org/resource/Wole_Soyinka","http://dbpedia.org/resource/Abeokuta"
"http://dbpedia.org/resource/Charles_Sorley","http://dbpedia.org/resource/Aberdeen"
"http://dbpedia.org/resource/George_MacDonald","http://dbpedia.org/resource/Aberdeenshire_(traditional)"
"http://dbpedia.org/resource/Adrian_Blevins","http://dbpedia.org/resource/Abingdon,_Virginia"
"http://dbpedia.org/resource/Francis_Webb_(poet)","http://dbpedia.org/resource/Adelaide,_South_Australia"
"http://dbpedia.org/resource/Hesiod","http://dbpedia.org/resource/Aeolis"
"http://dbpedia.org/resource/Chris_Abani","http://dbpedia.org/resource/Afikpo"
"http://dbpedia.org/resource/Ghalib","http://dbpedia.org/resource/Agra"
"http://dbpedia.org/resource/Mir_Taqi_Mir","http://dbpedia.org/resource/Agra"
"http://dbpedia.org/resource/Spike_Milligan","http://dbpedia.org/resource/Ahmednagar"
"http://dbpedia.org/resource/Rita_Dove","http://dbpedia.org/resource/Akron,_Ohio"
"http://dbpedia.org/resource/Mahmoud_Darwish","http://dbpedia.org/resource/Al-Birwa"
"http://dbpedia.org/resource/Sonia_Sanchez","http://dbpedia.org/resource/Alabama"
"http://dbpedia.org/resource/Onat_Kutlar","http://dbpedia.org/resource/Alanya"
"http://dbpedia.org/resource/Lucian_Blaga","http://dbpedia.org/resource/Alba_County"
"http://dbpedia.org/resource/Naim_Frashëri","http://dbpedia.org/resource/Albania"
"http://dbpedia.org/resource/Dritëro_Agolli","http://dbpedia.org/resource/Albanian_Kingdom_(1928–1939)"
"http://dbpedia.org/resource/Ai_(poet)","http://dbpedia.org/resource/Albany,_Texas"
"http://dbpedia.org/resource/Jay_Wright_(poet)","http://dbpedia.org/resource/Albuquerque,_New_Mexico"
"http://dbpedia.org/resource/Fulke_Greville,_1st_Baron_Brooke","http://dbpedia.org/resource/Alcester"
"http://dbpedia.org/resource/George_Crabbe","http://dbpedia.org/resource/Aldeburgh"
"http://dbpedia.org/resource/John_Dryden","http://dbpedia.org/resource/Aldwincle"
"http://dbpedia.org/resource/Luís_de_Camões","http://dbpedia.org/resource/Alenquer,_Portugal"
"http://dbpedia.org/resource/Apollonius_of_Rhodes","http://dbpedia.org/resource/Alexandria"
